id_universidad,universidad,ciudad,pais,email
1,Xinjiang Normal University,Tadou,China,rmcgreay0@photobucket.com
2,Universidade Federal de Lavras,Morro Agudo,Brazil,fdomenico1@ask.com
3,University of South Africa,Middelburg,South Africa,jpartington2@blinklist.com
4,Universidad El Bosque,Santa Rosa de Cabal,Colombia,lidle3@trellian.com
5,International Institute for Higher Education,Tétouan,Morocco,dlilburne4@smh.com.au
6,Universidade Federal Rural do Rio de Janeiro,Viamão,Brazil,iturri5@ebay.com
7,Universidad Juárez del Estado de Durango,San Francisco,Mexico,rskeleton6@exblog.jp
8,Skrjabin Moscow State Academy of Veterinary Medicine and Biotechnology,Talashkino,Russia,rcleyburn7@infoseek.co.jp
9,Universitas Bunda Mulia Jakarta,Ciodeng,Indonesia,dboyde8@skyrock.com
10,Saba University,Sa'dah,Yemen,apow9@miibeian.gov.cn
11,Universidad Internacional del Ecuador,Chone,Ecuador,pminchella@ucsd.edu
12,Capitol University,Abilay,Philippines,bmessiterb@unesco.org
13,Walsh University,Olympia,United States,wgoldringc@sun.com
14,University of Economics Prague,Nýřany,Czech Republic,sstavesd@scribd.com
15,Odessa National Polytechnic University,Ukrainka,Ukraine,fwaldrone@cam.ac.uk
16,Beijing Information Science and Technology University,Lhabupu,China,jjarvisf@nydailynews.com
17,Pannnasatra University of Cambodia,Kampot,Cambodia,flundbergg@sogou.com
18,University of Northeastern Philippines,Pantijan No 2,Philippines,rdartonh@youtube.com
19,University of Dubuque,Portland,United States,ozimmermeisteri@wordpress.com
20,Universidad de la Empresa (UDE),Santa Catalina,Uruguay,dquinceyj@nationalgeographic.com
21,Hebei Normal University,Zhishan,China,wgekek@1688.com
22,Ateneo de Manila University,Silvino Lobos,Philippines,efolkardl@google.com.au
23,Institut Sains dan Teknologi Al Kamal,Rantaupanjang,Indonesia,nbrimacombem@multiply.com
24,Taurida National V.I.Vernadsky University,Podgortsy,Ukraine,rcrunkhurnn@sina.com.cn
25,Universitas Nusa Cendana,Cisitu,Indonesia,ctotterdillo@illinois.edu
26,Universidade de Brasília,São Pedro,Brazil,dtomankiewiczp@theglobeandmail.com
27,University for Development Studies,Tarkwa,Ghana,fmaragesq@mediafire.com
28,University of Veterinary and Pharmaceutical Science,Nové Strašecí,Czech Republic,ibainer@berkeley.edu
29,University of Moratuwa,Gampola,Sri Lanka,ndwyers@geocities.jp
30,Universitas Wijaya Kusuma Purwokerto,Kadubadak,Indonesia,ryeudet@tripadvisor.com
31,Universidade da Amazônia,Iaçu,Brazil,llahiffu@goo.ne.jp
32,Kasem Bundit University,Pak Phayun,Thailand,emaesv@bbc.co.uk
33,Islamic University of Gaza,Burqah,Palestinian Territory,lperagow@sciencedaily.com
34,University of Prince Edward Island,High Prairie,Canada,wkellandx@printfriendly.com
35,Mongolian University of Science and Technology,Uujim,Mongolia,ndoxseyy@biblegateway.com
36,Silesian Academy of Medicine in Katowice,Widuchowa,Poland,tgreensmithz@mayoclinic.com
37,Tianjin Polytechnic University,Zhonghe,China,lmorfey10@t-online.de
38,Universidad Nacional de Tucumán,Ingenio La Esperanza,Argentina,astanyon11@hatena.ne.jp
39,Universitas Siliwangi,Bojongloa,Indonesia,msoeiro12@unc.edu
40,Binh Duong University,Cát Bà,Vietnam,ssqueers13@wufoo.com
41,Central Radio and TV University,Geshan,China,vhuygen14@hhs.gov
42,Notre Dame University,Calachuchi,Philippines,lovitts15@usgs.gov
43,Uppsala University,Timrå,Sweden,jschwaiger16@ftc.gov
44,Tambov State Technical University,Tashla,Russia,kfenning17@bloglines.com
45,Fujian Medical University,Kangshan,China,hismead18@walmart.com
46,Mansoura University,Akhmīm,Egypt,feady19@mashable.com
47,Universidade de Caxias do Sul,Manoel Urbano,Brazil,hneat1a@mac.com
48,Universitas Negeri Semarang,Cikuya,Indonesia,oprudence1b@answers.com
49,"Universitas Pembangunan Nasional ""Veteran"" East Java",Oenaik,Indonesia,oodunneen1c@hugedomains.com
50,Saratov State Technical University,Ten’gushevo,Russia,lbreeds1d@slashdot.org
